title,description,appears on,artist,writers,producer,released,streak
Marquee Moon,"""Marquee Moon"" is Television's guitar epic; Verlaine and Richard Lloyd stretch out for 10 minutes of urban paranoia. ""I would play until something happened,"" Verlaine said. ""That comes from jazz, or even the Doors, or the Five Live Yardbirds album — that kinda rave-up dynamics.""",Marquee Moon (Elektra),Television,Tom Verlaine,Andy Johns,"Feb. '77, Elektra",Did Not Chart
I Cant Explain,"For their debut single, the Who recorded Townshend's alleged answer to the Kinks' blazing ""You Really Got Me."" The Who even hired that song's producer, Talmy, who recruited additional players for the recording, among them Jimmy Page, who contributed rhythm guitar.",The Ultimate Collection (MCA),The Who,Pete Townshend,Shel Talmy,"March '65, Decca",2 weeks; No. 93
The Wind Cries Mary,"A dish-smashing argument with his girlfriend left Hendrix alone to scrawl the words to ""The Wind Cries Mary"" in January 1967. A few days later, the guitarist taught the uncharacteristically tender ballad — built around a gentle riff inspired by soul man Curtis Mayfield — to the Experience. The trio knocked out the track in 20 minutes.",Are You Experienced? (MCA),The Jimi Hendrix Experience,Hendrix,Chas Chandler,"May '67, Reprise",8 weeks; No. 65
Im a Man,"The B side of Diddley's first single was built around a four-note guitar stomp that was a trademark of mid-Fifties Chicago blues. Songwriter Willie Dixon, who supervised the 1955 session, said it was Diddley's sense of rhythm that set him apart from everyone else at Chess: ""The drums are speaking, and he'll tell you what the drums are saying.""",His Best: The Chess 50th Anniversary Collection (Chess),Bo Diddley,Diddley,Leonard Chess,"June '55, Checker",Did Not Chart
Personal Jesus,"Depeche Mode's breakthrough single was based on a surprising source: Priscilla Presley's book Elvis and Me. ""It's about how Elvis was her man and her mentor and how often that happens in love relationships,"" Gore said. ""How everybody's heart is like a god in some way.""",Violator (Sire),Depeche Mode,Martin Gore,"Depeche Mode, Flood","Nov. '89, Sire",20 weeks; No. 28
White Room,"Powered by Eric Clapton's wah-wah work, the song's unnerving psychedelic imagery came from Brown, emerging from a period of drug and alcohol excess. ""It was in my white-painted room that I had the horrible drug experience that made me want to stop everything,"" he said.",Wheels of Fire (Polygram),Cream,"Pete Brown, Jack Bruce",Felix Pappalardi,"Aug. '68, Atco",11 weeks; No. 6
How Deep Is Your Love,"The first single from Saturday Night Fever wasn’t a disco track but this slow jam. It went to Number One in December 1977, and the Bee Gees then controlled the top spot for 15 of the next 20 weeks. The song was originally intended for Yvonne Elliman, who had her own Number One with “If I Can’t Have You.”",Saturday Night Fever (Polygram),Bee Gees,Bee Gees,"Bee Gees, Karl Richardson, Albhy Galuten","Sept. '77, RSO",33 weeks; No. 1 
Unchained Melody,"This song first hit the charts in 1955, when three different versions of it landed in the Top 10. The Righteous Brothers picked up the torch in 1965, making it the B side to their single ""Hung on You."" When DJs began playing ""Unchained Melody"" instead, Spector decided the duo should put out only covers of pre-rock pop songs as its singles; their version of Sinatra’s ""Ebb Tide"" also hit big.",Anthology 1962-1974 (Rhino),The Righteous Brothers,"Alex North, Hy Zaret",Phil Spector,"July '65, Philles",13 weeks; No. 4
Highway 61 Revisited,"""Highway 61 begins about where I came from,"" Dylan writes in Chronicles. ""Duluth, to be exact."" The road runs through the heart of America — and so does the song. It’s Dylan at his wildest, both musically and lyrically, topping the band's roadhouse stomp with his surreal cosmic jokes. The police-siren whistle was courtesy of session man Al Kooper.",Highway 61 Revisited (Columbia),Bob Dylan,Dylan,Bob Johnston,"Aug. '65, Columbia",Did not chart
The Letter,"On ""The Letter,"" Alex Chilton moans like a gruff soul man, though he was just 16. He credited the performance to his producer, Memphis legend Penn. ""[He] coached me pretty heavily on singing anything we ever did,"" Chilton said. “In a lot of cases, it sounds more like him singing than it sounds like me.” Chilton went on to front Big Star but participated in Box Tops reunion tours until his death in 2010.",The Letter (Sundazed),The Box Tops,Wayne Carson Thompson,Dan Penn,"July '67, Mala",16 weeks; No. 1
Complete Control,"The Clash were hardcore reggae fans, so it was natural they would want to work with legendary dub producer Perry. But the resulting single wasn’t dub at all — it was the Clash’s toughest, noisiest punk anthem, with Mick Jones cranking the guitar to ear-bleeding levels. ""Complete Control,"" a U.K. hit in the fall of 1977, was appended to the American version of the band's debut album.",The Clash (Epic),The Clash,"Mick Jones, Joe Strummer","Lee ""Scratch"" Perry","July '79, Epic",Non-single 
All You Need is Love,"Twenty-four days after the release of Sgt. Pepper, the Beatles represented England on the six hour TV show Our World, a satellite broadcast seen by 400 million. ""All You Need Is Love"" was the simple message they wanted to send to the world. ""It was for love and bloody peace,"" Ringo Starr said. The backing choir on the single included Mick Jagger, Keith Moon and Donovan.",Magical Mystery Tour (Capitol),The Beatles,"John Lennon, Paul McCartney",George Martin,"July '67, Capitol",11 weeks; No. 1
Killing Me Softly With His Song,"Inspired by a Don McLean gig at L.A.'s Troubadour, folk singer Lori Lieberman took her idea for the song to Gimbel and Fox. Flack later heard Lieberman’s recording on an in-flight radio station and ""absolutely freaked,"" she said.",Killing Me Softly (Atlantic),Roberta Flack,"Norman Gimbel, Charles Fox",Joel Dorn,"Jan '73, Atlantic",16 weeks; No. 1
Got My Mojo Working,"Waters made his version of ""Mojo"" after hearing R&B singer Ann Coleper form it while they toured together in 1956. He retooled the rhythm and lyrics, turning it into a speedy howl about voodoo and sexual power.",The Anthology (Chess/MCA),Muddy Waters,Preston Foster,"Phil Chess, Leonard Chess, Willie Dixon","1957, Chess",Did not chart
Nowhere to Run,"Martha Reeves was working as a secretary for A&R man Mickey Stevenson at Motown when Mary Wells missed a session date; Reeves stepped in for her and eventually became a star. Her wail makes ""Nowhere to Run"" a scary tale of obsessive love; the heavy percussion was enhanced with snow chains.",The Ultimate Collection (Motown),Martha and the Vandellas,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier","Feb. '65, Gordy",11 weeks; No. 8
Little Wing,"Blissed out from his appearance at Monterey Pop, Hendrix brought a delicate touch to this ballad at a 1967 London session. In a mere 145 seconds, he conjured a gossamer reverie. Hendrix played one of his most lyrical solos through a Leslie speaker cabinet (creating an oscillating sound) and later added glockenspiel to complete the mood.",Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,Hendrix,Chas Chandler,"Feb. '68, Reprise",Non-single
Sweet Dreams (Are Made of This),"""Sweet Dreams"" was a deceptively catchy single from two former lovers. ""The day Dave and I ended our romance, Eurythmics began,"" Annie Lennox told Rolling Stone. But the tense sessions for ""Sweet Dreams"" nearly ended their musical partnership. ""I was curled up in the fetal position,"" Lennox said. ""He programmed this rhythm. It sounded so good. In the end I couldn't resist it.""",Sweet Dreams (RCA),Eurythmics,"Annie Lennox, Dave Stewart",Stewart,"April '83, RCA",26 weeks; No. 1
Bad Moon Rising,"""This song is definitely not about astrology,"" Fogerty once joked. ""[It’s] scary, spooky stuff."" With violence at home and a war abroad, there was a bad moon on the rise, and CCR effortlessly tapped into the darkening national mood. The song had one of CCR’s catchiest swamp-rock riffs, an homage to Elvis Presley’s guitarist Scotty Moore that Fogerty wrote in high school.",Green River (Fantasy),Creedence Clearwater Revival,John Fogerty,Fogerty,"April '69, Fantasy",14 weeks; No. 2
Watching the Detectives,"In the summer of 1977, Costello was still an aspiring songwriter when he took the Clash’s debut back to his London flat and ""listened to it for 36 hours straight,"" he recalled. ""And I wrote 'Watching the Detectives.'"" Still, he maintained, ""I was never part of any punk-rock thing. I couldn't afford to go to nightclubs at night. I had a wife and kid, and I had to go to work.""",My Aim Is True (Rhino),Elvis Costello,Costello,Nick Lowe,"Nov. '77, Columbia",Did not chart
Tears in Heaven,"On March 20th, 1991, four-year old Conor Clapton died in a fall from an apartment window in New York. His father wrote the heartrending ""Tears in Heaven"" and ""The Circus Left Town"" for his son. ""They’re sweet little songs, almost like folk songs, and I feel the need to have people hear them,"" he told Rolling Stone. ""Tears"" anchored his 1992 MTV Unplugged set.","""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,"Clapton, Will Jennings",Russ Titelman,"Jan. '92, Duck/Reprise",26 weeks; No. 2
All Shook Up,"Songwriter Al Stanton walked up to Blackwell one day shaking a bottle of Pepsi and challenged him to write a song called ""All Shook Up."" Presley fell in love with the tune the first time he heard it and gave it the same freewheeling charm he had brought to Blackwell’s ""Don’t Be Cruel,"" even reprising the guitar-backslapping trick he’d used on that track. It worked: The song went on to sell 2 million copies.",Elvis 30 #1 Hits (RCA),Elvis Presley,"Otis Blackwell, Presley",Steve Sholes,"March '57, RCA",30 weeks; No. 1
The Great Pretender,"Heirs to the crooning style of the Ink Spots and the Mills Brothers, the Platters became the first R&B vocal group to top the pop charts, heralding the arrival of doo-wop. Ram, who also co-wrote ""Only You"" and ""Twilight Time,"" was pushing 50 when ""Pretender"" hit.",The Magic Touch: An Anthology (Mercury),The Platters,Buck Ram,Ram,"Dec. '55, Mercury",24 weeks; No. 1
The Loco-Motion,"At 17, Eva Boyd was hired to baby-sit King and Goffin’s newborn during recording sessions. One day they asked her to cut a demo for this song. ""There never was a dance called the loco-motion until it was a hit,"" King said. ""So Little Eva had to make up a dance.""",The Loco-Motion (Rhino),Little Eva,"Gerry Goffin, Carole King",Goffin,"June '62, Dimension",16 weeks; No. 1
Spanish Harlem,"Just split from the Drifters, King was eager to make an auspicious solo debut and insisted on cutting this rare collaboration between Spector and Leiber. (King grew up mere blocks from Spanish Harlem.) Spector said this was Lenny Bruce’s favorite song.",The Very Best of Ben E. King (Rhino),Ben E. King,"Phil Spector, Jerry Leiber","Mike Stoller, Leiber","Dec. '60, Atco",16 weeks; No. 10
That Lady (Part 1 and 2),"In 1969, the Isleys added younger brothers Ernie and Marvin, who had been put through music school by their older brothers. Ernie repaid the debt on ""That Lady"" with a guitar solo recalling onetime Isleys sideman Jimi Hendrix.",The Essential Isley Brothers (Legacy),The Isley Brothers,The Isley Brothers,The Isley Brothers,"July '73, T-Neck",20 weeks; No. 6
Candle in the Wind,"John’s Marilyn Monroe tribute was a U.K. hit in 1973, but in the U.S. the single release was canceled when DJs began playing ""Bennie and the Jets"" instead. A live version with the Melbourne Symphony Orchestra recorded in 1986 finally reached the U.S. charts, and a 1997 rerelease with new lyrics in honor of Princess Diana became the biggest-selling single of the 20th century.",Goodbye Yellow Brick Road (Island),Elton John,"John, Bernie Taupin",Gus Dudgeon,"Oct. '73, MCA",
California Love,"When 2Pac left jail in October 1995, after serving eight months for a sexual-assault conviction, Dre had a hit ready for him: a slice of West Coast funk, built around a Joe Cocker sample and a vocal from Zapp frontman Roger Troutman. “I don’t want it to be about violence,” 2Pac said seven months before he was shot dead. “I want it to be about money.”",Greatest Hits (Death Row),Dr. Dre and 2Pac,"Dr. Dre, Chris Stainton, Roger Troutman, Larry Troutman, 2Pac",Dr. Dre,"Feb. '96, Death Row",24 weeks; No. 6
La Bamba,"Valens' version of this traditional Mexican wedding song was originally the B side to his first hit, ""Donna."" ""La Bamba"" entered the Top 40 two weeks before the 17-yearold died in the same plane crash that killed Buddy Holly and the Big Bopper.",The Ritchie Valens Story (Rhino),Ritchie Valens,William Clauson,Bob Keane,"Oct. '58, Del-Fi",15 weeks; No. 22
